;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV2328;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV2329;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;NA
ASV2330;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola;NA
ASV2331;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;NA;NA;NA
ASV2332;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;shahii
ASV2333;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV2334;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV2335;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV2336;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV2337;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV2338;Bacteria;NA;NA;NA;NA;NA;NA
ASV2339;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002;NA
ASV2340;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;NA
ASV2341;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Aquamonas;NA
ASV2342;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV2343;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA
ASV2344;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV2345;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV2346;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV2347;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV2348;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA
ASV2349;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV2350;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV2351;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV2352;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;NA;NA
ASV2353;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV2354;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV2355;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV2356;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;NA
ASV2357;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011;NA;NA
ASV2358;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV2359;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;NA;NA;NA
ASV2360;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV2361;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV2362;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV2363;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA
ASV2364;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV2365;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV2366;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV2367;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV2368;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV2369;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV2370;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV2371;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerofilum;NA
ASV2372;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;NA
ASV2373;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV2374;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
